Name,EPI300_pCC1_ATF1_iAAl,EPI300_pCC1_ATF1_AraiAAl,
(+-)-2-Acetylaminopentyl acetate,79415.27002,62719.61102,
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",20916.20112,84583.4684,
"(4E)-2,7-Dimethyl-4-octene-3,6-dione",109817.5047,23079.41653,
"(E)-Deca-1,6-dien-3-one",34800.74488,42072.93355,
(R)-(+)-4-Iodo[2.2]paracyclophane,94048.41713,87027.55267,
[(N-1-Chloroprop-2-en-2-yl)aminomethyl]benzene,29061.45251,21121.55592,
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",14214.1527,44197.73096,
1-(3-Methylbut-2-enyloxy)butan-2-one,91364.99069,53635.33225,
1-(Phenylsulphinylmethyl)cyclododecene,19299.81378,20850.89141,
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,84938.54749,187620.7455,
"1,1,1,3,5,7,9,11,11,11-Decamethyl-5-(trimethylsiloxy)hexasiloxane",543052.1415,457734.1977,
"1,4-Bis[2-[2-(dimethylamino)etoxy]ethenyl]benzene",4011.173184,25032.41491,
1-Allyl-cyclohexanol,25227.18808,30925.44571,
"1-Butanol, 3-methyl-",14238811.92,15067682.33,
1-Cyano-2-methylbuten-3-one,70487.89572,50095.62399,
1-Cyclopentyl-3-acetoxypropan-1-one,165873.3706,158043.7601,
1-Decanol,3114912.477,135118.3144,
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",132067.0391,90141.00486,
1-METHOXY-1-(TRICHLORMETHYL)CYCLOPENTANE,16659.21788,2047.001621,
1-methoxypentadecan-3-one,187966.4804,211552.6742,
"2-(3'-cyanobutyl)-1H-isoindole-1,3(2H)-dione",28675.97765,17059.96759,
"2,2-diethyl-1-germa-2-silabutane ",176422.7188,389132.9011,
"2,2-Dimethyl-5-(3-methyl-2,2-pentamethylenehexahydropyrimidin-1-ylmethylene)...",73713.2216,61499.18963,
"2,3-Pentanedione",109297.9516,152204.2139,
"2,4-dimethyl-4-formyl-2-butenolide",504890.1304,215316.0454,
"2,4-Di-tert-butylphenol",13066549.35,12638371.15,
"2,5-Dihydroxybenzaldehyde, 2TMS derivative",13098776.54,13099108.59,
"2,7-Octanedione",2778536.313,166264.1815,
2-Acetylthiazole,1516234.637,1196740.681,
2-Butanone,6507696.462,5975622.366,
"2-Butanone, 3-methyl-",5941091.248,5812776.337,
"2-Heptanone, 4-methyl-",27019350.09,27473510.53,
"2-Octanol, 2-methyl-",3851150.838,3630766.613,
2-Pentadecanone,8145081.937,8267758.509,
"2-Propanamine, 2-methyl-",796180.6331,258915.7212,
2-Propyn-1-ol,74774.67412,127781.1994,
"2-Pyridinecarboxylic acid, methyl ester",5797.020484,3474.878444,
2-Tetradecanone,2748078.212,772727.7147,
2-Tridecanol,1183046.555,1104961.102,
2-Tridecanone,18526383.61,19099408.43,
