Name,EPI300_pCC1_ATF1_Ara,EPI300_pCC1_ATF1_AraAraiAAl
"(1,1-Dideuteriocyclopropyl)acetaldehyde ",51179,105021
"(2S,3S)-3-Azido-3-[(1-benzyloxy)cyclopropyl]-1,2-propanediol",137667,116562
"(3R*,4R*,5R*,6S*)-[(3,5-Dimethyl-4,6-bis-((tert-butyldimethylsilyl)oxy)-1-cy...",16254,84583
"(4S,6S,1E)-3-(Acetoxymethylene)-6,7-dihydroxy-7,11-dimethyldodeca-1,10-dien-...",26863,15548
"(E)-Deca-1,6-dien-3-one",55748,42073
(R)-(+)-1-(3-tetrahydrofuryl)-1-oxo-2-hexyne,24181,4368
(Z)-1-Amino-2-propananone -O-methyloxime,53802,36144
"1-(3,5-Dibromo-4-hydroxyphenyl)-3,3-dimethylbutan-2-one",49018,44198
1-(3-Methylbut-2-enyloxy)butan-2-one,18917,53635
1-(p-Methoxyphenyl)-3-phenyloxy-4-oxoazetidine-2-N-benzylN-methylenenitrone,161859,187621
"1,1,1,3,5,7,9,11,11,11-Decamethyl-5-(trimethylsiloxy)hexasiloxane",869181,457734
"1,1'-Ethylenedi-2-imidazoline",15996,13107
"1,2-Benzenediol, O-(4-ethylbenzoyl)-O'-propargyloxycarbonyl-",154040,40835
"1,6,10-Dodecatrien-3-ol, 3,7,11-trimethyl-, (E)-",7267417,6292634
1-[(p-Methylphenyl)amino]acetone Oxime,12135,12663
"1-[1-(Toluene-4-sulfonyl)-4,5-dihydro-1H-pyrrol-2-yl]but-2-en-1-one",32433,34410
1-Allyl-cyclohexanol,16550,30925
"1-Butanol, 3-methyl-, acetate",19548270,25547169
1-Cyano-2-methylbuten-3-one,83466,50096
1-Decanol,931411,135118
"1'-Deoxy-1'-(phenylsulfonyl)methylene]-2',3'-isopropylidene-.beta.-D-ribofur...",118260,90141
1H-Imidazol-2-amine,1925319,62951
1-Isopropyl-2-((phenylthio)methyl)cyclopentene,17034,22950
1-mercapto-2-methoxycarbonylaminobut-3-ene,53212,6818
1-methoxypentadecan-3-one,26984,211553
"1-Methyl-2,3-dihydro-1H-pyrrolo[3,2-c]pyridine",292861,84783
1-Methyl-4-[(2-phenylpropenyl)sulfinyl]benzene,1683,11425
"1-Pentanone, 1-(4-methylphenyl)-",74929,73371
1-Pentene,27153,1065843
"2-(3'-cyanobutyl)-1H-isoindole-1,3(2H)-dione",28823,17060
"2,,5,5-Tetramethyl-3-oxacyclohexanone",154540,113961
"2,2-dimethyl-1-nitropropane ",21127,32480
"2,3-Dihydro farnesyl acetate",440554,376955
"2,4-Di-tert-butylphenol",13215808,12638371
"2,7-Octanedione",3963641,166264
"2-ACETOXY-1-ACETYL-6-(1-ADAMANTYL)THIO-3-HYDROXY-3,5-DIMETHYL-1,2,3,6-TETRAH...",109440,77554
2-Acetyl-5-methylthiophene,355740,288052
2-Acetylthiazole,1732960,1196741
2-Butanone,7292202,5975622
"2-Heptanone, 4-methyl-",2564530,27473511
"2-Methoxy-6-phenyl-6,6a,7,8-tetrahydro-9aH-furo[3,2-c]quinoline isomer",15623046,19887
2'-Methyl-2'-propenyl 2-Propynaoate,12673,22566
"2-Octanol, 2-methyl-",4567335,3630767
2-Pentadecanone,9805280,8267759
2-Propanol,279925,261130
2-Tetradecanone,968625,772728
2-Tridecanol,1215165,1104961
2-Tridecanone,24250240,19099408
"3-(2-(2-METHYL-3-ALLYL-1,1-ETHYLENEDIOXYCYCLOPENTAN-2-YL)ETHYL)-1,5-HEXADIYNE",82315,52535
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,1635688,645580
3-(Methoxymethoxy)cyclohexene ,226317,210081
